ilkid,firstname,lastname,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
EHLOCR01,Craig,Ehlo,N,873,21071,7492,996,2143,3139,2456,989,232,1225,1695,6579,2977,1330,917,1684,621
EICHHDI01,Dick,Eichhorst,N,1,10,2,0,0,1,3,0,0,0,1,2,1,0,0,0,0
EISLEHO01,Howard,Eisley,N,754,15616,5015,198,1093,1291,2679,529,81,1151,1667,4514,1847,989,818,1432,503
EKEZIOB01,Obinna,Ekezie,N,143,1515,510,136,247,383,31,38,27,95,254,390,165,250,180,1,0
EL-AMKH01,Khalid,El-amin,N,50,936,314,21,60,81,145,48,2,54,99,311,115,72,56,84,28
ELIASDO01,Don,Eliason,N,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ELIEMA01,Mario,Elie,N,732,18654,6267,520,1497,2017,1875,671,129,960,1438,4493,2124,1692,1445,1572,574
ELLEFRA01,Ray,Ellefson,N,6,0,6,0,0,8,0,0,0,0,8,9,1,4,4,0,0
ELLIOBO01,Bob,Elliott,N,141,2324,980,187,315,502,204,69,34,233,306,720,356,410,266,6,2
ELLIOSE01,Sean,Elliott,N,742,24502,10544,819,2385,3204,1897,576,284,1328,1626,8290,3852,2816,2251,1572,589
ELLISAL01,Alexander,Ellis,N,118,1873,607,0,0,616,86,0,0,0,201,564,227,220,153,0,0
ELLISBO01,Bo,Ellis,N,168,1984,613,182,300,482,113,69,84,145,320,548,236,193,141,3,0
ELLISDA01,Dale,Ellis,N,1209,34778,19002,1533,2668,4201,1746,974,183,1771,2480,15275,7322,3365,2639,4269,1719
ELLISHA01,Harold,Ellis,N,145,1923,840,177,114,291,89,159,18,111,252,592,312,329,215,21,1
ELLISJO01,Joe,Ellis,N,524,10374,4623,37,85,2686,716,33,9,0,1397,4884,1946,1005,731,0,0
ELLISLA01,Laphonso,Ellis,N,624,17615,7410,1258,2774,4032,981,433,477,1001,1934,6409,2895,1888,1379,797,241
ELLISLE01,Leroy,Ellis,N,1048,27520,10176,534,1060,8709,1405,146,151,0,2661,9378,4143,2595,1890,0,0
ELLISLE02,Leron,Ellis,N,91,857,277,87,133,220,29,25,37,35,105,254,110,93,57,0,0
ELLISPE01,Pervis,Ellison,N,474,11593,4494,1087,2083,3170,691,293,752,798,1493,3579,1826,1221,841,20,1
ELMORLE01,Len,Elmore,A,153,4005,1621,0,1214,1214,157,203,269,258,551,1716,698,299,224,4,1
ELMORLE01,Len,Elmore,N,505,8384,2327,713,1433,2146,459,379,405,522,1258,2252,929,656,469,1,0
ELSONFR01,Francisco,Elson,N,129,1814,466,126,277,403,66,69,80,75,274,415,195,124,75,4,1
ELSTODA01,Darrell,Elston,A,72,1869,596,0,163,163,202,82,9,126,166,613,250,123,93,18,3
ELSTODA01,Darrell,Elston,N,5,40,5,1,5,6,2,1,0,0,6,14,2,2,1,0,0
ELYME01,Melvin,Ely,N,173,2961,969,254,347,601,113,51,118,185,362,865,385,328,199,1,0
EMBRYWA01,Wayne,Embry,N,831,21763,10380,0,0,7544,1194,0,0,0,2838,9067,3993,3741,2394,0,0
EMMETAN01,Andre,Emmett,N,8,28,7,0,2,2,0,0,0,1,4,6,2,5,3,0,0
ENDRENE01,Ned,Endress,N,16,0,14,0,0,0,4,0,0,0,13,25,3,15,8,0,0
ENGLECH01,Chris,Engler,N,195,1405,343,137,249,386,45,32,42,91,274,336,138,99,67,0,0
ENGLEWA01,Wayne,Englestad,N,11,50,28,5,11,16,7,1,0,3,12,29,11,10,6,0,0
ENGLIAJ01,A.j.,English,N,151,3108,1502,140,175,315,320,57,24,203,287,1418,617,333,259,65,9
ENGLIAL01,Alex,English,N,1193,38063,25613,2778,3760,6538,4351,1067,833,2821,3027,21036,10659,5141,4277,83,18
ENGLICL01,Claude,English,N,18,70,27,0,0,20,6,0,0,0,15,42,11,7,5,0,0
ENGLIJO01,Jojo,English,N,50,577,179,12,42,54,46,18,13,46,85,178,74,36,20,32,11
ENGLISC01,Scott,English,A,76,1364,500,0,379,379,92,50,20,97,124,509,213,93,73,10,1
ENGLISC01,Scott,English,N,29,196,93,0,0,44,15,0,0,0,38,93,36,29,21,0,0
ENGLUGE01,Gene,Englund,N,46,0,360,0,0,0,41,0,0,0,167,274,104,192,152,0,0
EPPSRA01,Ray,Epps,N,13,72,26,0,5,5,2,1,0,2,7,23,10,8,6,0,0
ERIASBO01,Bo,Erias,N,18,401,148,0,0,83,26,0,0,0,52,170,59,47,30,0,0
ERICKKE01,Keith,Erickson,N,766,18841,7251,306,827,3448,1991,222,45,0,2081,6926,3014,1591,1223,0,0
ERVINJU01,Julius,Erving,A,407,16550,11662,0,2738,4924,1952,764,648,1617,1208,9094,4581,3102,2412,273,88
ERVINJU01,Julius,Erving,N,836,28677,18364,2067,3534,5601,3224,1508,1293,2323,2286,14276,7237,4950,3844,176,46
ESCHMEV01,Evan,Eschmeyer,N,153,2137,421,195,406,601,76,69,95,96,399,341,158,169,105,0,0
ESKRIJA01,Jack,Eskridge,N,23,0,64,0,0,0,14,0,0,0,25,69,25,20,14,0,0
ESPOSVI01,Vincent,Esposito,N,30,282,116,4,12,16,23,7,0,39,27,100,36,39,31,56,13
EVANSBI01,Billy,Evans,A,53,602,102,0,0,39,100,0,0,0,89,87,32,70,38,2,0
EVANSBO01,Bob,Evans,N,47,0,142,0,0,0,55,0,0,0,99,200,56,44,30,0,0
EVANSBR01,Brian,Evans,N,102,1097,375,56,108,164,77,35,18,42,115,378,144,61,50,108,37
EVANSEA01,Earl,Evans,N,36,381,157,26,49,75,37,14,1,36,64,140,63,42,24,18,7
EVANSMA01,Maurice,Evans,N,75,1278,437,88,117,205,49,37,8,36,113,392,174,82,62,85,27
EVANSMI01,Mike,Evans,N,591,9858,4531,184,624,808,1514,430,51,818,1173,4060,1835,781,630,753,231
EVANSRE01,Reggie,Evans,N,221,4526,816,577,1012,1589,124,150,36,221,551,580,264,536,288,5,0
EWINGPA01,Patrick,Ewing,N,1183,40597,24815,2720,8886,11606,2215,1136,2894,3535,4034,19241,9702,7289,5392,125,19
EZERSJO01,Johnny,Ezersky,N,135,0,1031,0,0,0,169,0,0,0,299,1270,366,447,299,0,0
FABELJO01,Joe,Fabel,N,30,0,63,0,0,0,2,0,0,0,64,96,25,26,13,0,0
FAIRCJO01,John,Fairchild,A,135,2106,1025,0,0,481,104,0,0,177,271,937,391,337,229,38,14
FAIRCJO01,John,Fairchild,N,30,171,60,0,0,45,11,0,0,0,33,89,23,20,14,0,0
FARBMPH01,Phil,Farbman,N,48,0,155,0,0,0,36,0,0,0,86,163,50,81,55,0,0
FARLEDI01,Dick,Farley,N,211,3822,1378,0,0,527,386,0,0,0,429,1252,481,594,416,0,0
FARMEJI01,Jim,Farmer,N,136,1454,715,77,109,186,111,42,4,118,164,643,275,196,143,78,22
FARMEMI01,Mike,Farmer,N,423,8818,2816,0,0,1950,550,0,0,0,840,2965,1165,597,486,0,0
FARMETO01,Tony,Farmer,N,101,1368,532,134,193,327,79,76,20,91,190,365,144,304,234,53,10
FAUGHBO01,Bob,Faught,N,51,0,343,0,0,0,33,0,0,0,97,478,141,106,61,0,0
FEDORDA01,Dave,Fedor,N,7,27,6,0,0,6,1,0,0,0,4,10,3,1,0,0,0
FEERIBO01,Bob,Feerick,N,221,0,2936,0,0,0,440,0,0,0,592,2977,1077,972,782,0,0
FEHERBU01,Butch,Feher,N,48,487,248,18,56,74,36,11,7,0,46,162,86,99,76,0,0
FEICKJA01,Jamie,Feick,N,201,4315,911,515,922,1437,139,117,90,152,439,827,351,313,197,30,12
FEIERRO01,Ron,Feiereisel,N,10,59,30,0,0,6,6,0,0,0,9,28,8,16,14,0,0
FEIGEGE01,George,Feigenbaum,N,17,79,52,0,0,7,19,0,0,0,29,79,18,33,16,0,0
FEITLDA01,Dave,Feitl,N,275,3001,1192,241,574,815,125,46,46,234,439,1089,471,333,250,9,0
FELIXRA01,Ray,Felix,N,637,15188,6974,0,0,5652,448,0,0,0,2419,5841,2406,3187,2162,0,0
FENDLJA01,Jake,Fendley,N,103,1031,287,0,0,126,94,0,0,0,200,250,86,155,115,0,0
FENLEBI01,Bill,Fenley,N,33,0,85,0,0,0,16,0,0,0,59,138,31,45,23,0,0
FERGUDE01,Desmond,Ferguson,N,7,32,13,0,4,4,1,0,0,1,0,12,5,2,0,8,3
FERNSER01,Eric,Fernsten,N,218,1643,517,144,228,372,82,52,51,72,174,434,193,194,131,0,0
FERRAAL01,Al,Ferrari,N,371,7582,2525,0,0,830,943,0,0,0,1008,2389,878,1012,769,0,0
FERREDU01,Duane,Ferrell,N,583,8727,3704,552,580,1132,509,302,105,509,902,2961,1420,1096,822,146,42
FERRERO01,Rolando,Ferreira,N,12,34,9,4,9,13,1,0,1,6,7,18,1,8,7,0,0
FERRIAR01,Arnie,Ferrin,N,178,0,1037,0,0,271,278,0,0,0,509,1147,381,401,275,0,0
FERRYBO01,Bob,Ferry,N,634,12828,5780,0,0,3343,906,0,0,0,1438,5142,2225,2003,1330,0,0
FERRYDA01,Danny,Ferry,N,917,18134,6439,635,1915,2550,1185,384,292,811,1965,5615,2505,895,752,1722,677
FIELDBO01,Bobby,Fields,A,22,124,54,0,0,30,20,0,0,21,33,48,22,13,8,7,2
FIELDKE01,Kenny,Fields,N,184,2692,1140,176,288,464,188,97,38,181,394,977,463,288,211,16,3
FILIPRO01,Ron,Filipek,N,19,73,43,0,0,25,7,0,0,0,12,47,18,14,7,0,0
FILLMGR01,Greg,Fillmore,N,49,338,118,0,0,108,20,0,0,0,97,129,52,30,14,0,0
FINCHLA01,Larry,Finch,A,128,3042,1106,0,217,217,301,78,7,185,326,992,428,269,223,79,27
FINKEHA01,Hank,Finkel,N,551,6866,2790,74,173,2151,426,10,10,0,1090,2508,1125,816,540,0,0
FINLEMI01,Michael,Finley,N,735,28886,13974,937,2802,3739,2750,851,267,1383,1431,12103,5440,2662,2149,2557,945
FINNDA01,Danny,Finn,N,142,3397,1042,0,0,548,566,0,0,0,453,1169,382,464,278,0,0
FISHEDE01,Derek,Fisher,N,618,15118,4905,222,1116,1338,1919,634,49,735,1115,4345,1724,1150,900,1511,557
FISHERI01,Rick,Fisher,A,12,66,37,0,0,32,5,0,0,4,9,34,18,1,1,0,0
FISHMA01,Matt,Fish,N,50,516,177,43,67,110,25,19,14,34,91,142,71,56,35,1,0
FITZGBO01,Bob,Fitzgerald,N,78,0,240,0,0,0,47,0,0,0,179,391,76,140,88,0,0
FITZGDI01,Dick,Fitzgerald,N,61,0,277,0,0,0,40,0,0,0,90,498,118,60,41,0,0
FIZERMA01,Marcus,Fizer,N,286,5991,2762,284,1049,1333,351,134,81,426,644,2519,1094,801,554,109,20
FLEISJE01,Jerry,Fleishman,N,262,882,1512,0,0,152,429,0,0,0,607,1953,541,674,430,0,0
FLEMIAL01,Al,Fleming,N,20,97,40,13,17,30,7,0,5,16,16,31,15,17,10,0,0
FLEMIED01,Ed,Fleming,N,292,6186,2511,0,0,1532,544,0,0,0,688,2403,862,1077,787,0,0
FLEMIVE01,Vern,Fleming,N,893,24721,10125,979,2036,3015,4293,926,105,1795,2003,7954,3964,2826,2159,210,38
FLORELU01,Luis,Flores,N,16,77,35,1,2,3,11,2,0,11,9,29,14,2,2,10,5
FLOWEBR01,Bruce,Flowers,N,53,699,261,71,109,180,47,19,12,43,99,206,110,53,41,2,0
FLOYDSL01,Sleepy,Floyd,N,957,26383,12260,626,1868,2494,5175,1120,215,2251,1972,10015,4448,3493,2846,1599,518
FLYNNMI01,Mike,Flynn,A,67,1097,421,0,133,133,133,44,9,81,112,439,166,111,64,99,25
FLYNNMI01,Mike,Flynn,N,144,2279,896,123,181,304,321,98,16,75,158,840,370,239,156,0,0
FOGLELA01,Larry,Fogle,N,2,14,2,1,2,3,0,1,0,0,4,5,1,0,0,0,0
FOLEYJA01,Jack,Foley,N,11,83,53,0,0,16,5,0,0,0,8,51,20,15,13,0,0
FONTAIS01,Isaac,Fontaine,N,6,75,11,0,5,5,4,0,0,4,6,14,3,6,4,5,1
FONTALE01,Levi,Fontaine,N,35,210,134,0,0,15,22,0,0,0,27,145,53,37,28,0,0
FORDAL01,Alphonso,Ford,N,11,114,35,8,12,20,10,3,0,9,7,52,16,4,2,10,1
FORDAL02,Alton,Ford,N,73,523,186,4,120,124,11,6,8,37,115,138,70,66,46,0,0
FORDBO01,Bob,Ford,A,9,74,14,0,0,12,4,0,0,4,8,17,5,5,4,0,0
FORDCH01,Chris,Ford,N,794,22043,7314,820,1308,2394,2719,1152,192,726,1817,6874,3160,1188,868,336,126
FORDDO01,Don,Ford,N,474,9301,3016,544,1147,1691,647,274,139,296,1004,2828,1313,503,389,7,1
FORDJA01,Jake,Ford,N,31,249,126,0,0,20,35,0,0,0,32,91,42,55,42,0,0
FORDPH01,Phil,Ford,N,482,13503,5594,161,693,854,3083,589,29,1326,1269,4560,2128,1602,1313,119,25
FORDSH01,Sherell,Ford,N,28,139,90,12,12,24,5,8,1,6,27,80,30,34,26,25,4
FORDTJ01,T.J.,Ford,N,55,1472,391,37,140,177,356,60,3,139,123,398,153,98,80,21,5
FORMADO01,Donnie,Forman,N,44,0,179,0,0,0,74,0,0,0,94,231,68,67,43,0,0
FORREBA01,Bayard,Forrest,N,139,2130,569,194,371,565,296,52,71,191,256,510,229,218,111,0,0
FORTEJO01,Joseph,Forte,N,25,125,30,4,13,17,17,6,0,13,7,47,11,10,8,6,0
FORTSDA01,Danny,Fortson,N,403,8399,3488,974,2089,3063,303,177,92,614,1434,2453,1154,1500,1178,11,2
FOSTEFR01,Fred,Foster,N,523,9116,4093,132,162,1275,601,57,8,0,1008,4107,1701,950,691,0,0
FOSTEGR01,Greg,Foster,N,656,7974,2538,509,1182,1691,351,94,194,465,1221,2382,1047,567,424,89,20
FOSTEJE01,Jeff,Foster,N,392,7383,1844,801,1615,2416,266,260,127,282,880,1494,719,657,402,34,4
FOSTEJI01,Jimmy,Foster,A,89,1158,331,0,117,117,190,58,9,151,196,354,132,98,66,14,1
FOSTERO01,Rod,Foster,N,207,3446,1562,75,183,258,479,137,10,286,441,1434,631,297,228,242,72
FOTSIAN01,Antonis,Fotsis,N,28,319,108,4,58,62,10,9,11,21,22,104,42,20,17,23,7
FOUSTLA01,Larry,Foust,N,817,21890,11198,0,0,8041,1368,0,0,0,2909,9414,3814,4816,3570,0,0
FOWLECA01,Cal,Fowler,A,78,1234,343,0,0,170,126,0,0,0,156,288,131,119,74,17,7
FOWLEJE01,Jerry,Fowler,N,6,41,9,0,0,10,2,0,0,0,9,13,4,4,1,0,0
FOWLKTR01,Tremaine,Fowlkes,N,103,1232,301,62,166,228,54,47,6,50,146,257,105,110,87,20,4
FOXHA01,Harold,Fox,N,10,84,31,0,0,8,10,0,0,0,7,32,12,8,7,0,0
FOXJI01,Jim,Fox,N,743,17294,6945,554,1215,5525,1201,151,79,0,2023,5452,2611,2239,1723,0,0
FOXRI01,Rick,Fox,N,930,23722,8966,929,2588,3517,2649,967,355,1611,2739,7519,3382,1858,1431,2210,771
FOYLEAD01,Adonal,Foyle,N,516,9926,2364,905,1772,2677,273,193,965,459,1200,2217,1041,575,282,2,0
FRAHMRI01,Richie,Frahm,N,97,968,347,29,88,117,54,31,8,21,85,279,119,51,44,172,65
FRANCST01,Steve,Francis,N,452,17803,8889,771,1974,2745,2928,722,189,1702,1458,7102,3051,2861,2283,1473,504
FRANKNA01,Nat,Frankel,N,6,0,16,0,0,0,3,0,0,0,6,27,4,12,8,0,0
FRANKTE01,Tellis,Frank,N,264,4703,1710,363,659,1022,276,158,95,326,795,1456,639,583,432,4,0
FRANKWI01,Will,Franklin,A,107,1264,657,0,111,400,65,6,5,146,210,631,262,218,131,8,2
FRANZRO01,Ron,Franz,A,403,9912,4733,0,0,2128,668,0,0,522,1120,3945,1765,1635,1150,190,53
FRAZIWA01,Walt,Frazier,N,825,30965,15581,403,1523,4830,5040,681,59,139,2180,12516,6130,4226,3321,1,0
FRAZIWI01,Will,Frazier,N,2,9,1,0,0,5,1,0,0,0,1,4,0,2,1,0,0
FRAZIWI02,Wilbert,Frazier,A,151,3495,1499,0,0,1082,170,0,0,221,419,1382,575,570,348,2,1
FREDEAN01,Anthony,Frederick,N,147,1640,718,137,143,280,135,76,45,132,200,663,291,186,130,22,6
FREEMDO01,Donnie,Freeman,A,584,19546,11544,0,352,2112,2121,113,37,1016,1604,9398,4303,3662,2927,73,11
FREEMDO01,Donnie,Freeman,N,64,1480,689,72,108,180,171,57,11,0,160,606,263,199,163,0,0
FREEMGA01,Gary,Freeman,N,52,382,167,0,0,106,35,0,0,0,67,134,69,40,29,0,0
FREEMRO01,Rod,Freeman,N,35,265,106,22,32,54,14,12,1,0,42,103,39,41,28,0,0
FREEWO01,World,Free,N,886,26893,17955,1008,1422,2430,3319,910,223,1869,2270,14294,6512,6264,4718,632,213
FREIJMA01,Matt,Freije,N,23,441,93,16,45,61,20,13,2,17,40,127,37,8,5,54,14
FREYFR01,Frido,Frey,N,23,0,88,0,0,0,14,0,0,0,37,97,28,56,32,0,0
FRIENLA01,Larry,Friend,N,44,569,175,0,0,106,47,0,0,0,54,226,74,41,27,0,0
FRINKPA01,Pat,Frink,N,48,363,123,0,0,41,55,0,0,0,54,147,50,29,23,0,0
FRITSJI01,Jim,Fritsche,N,84,1372,326,0,0,249,77,0,0,0,131,427,132,84,62,0,0
FRYERBE01,Bernie,Fryer,N,120,2370,756,76,151,227,357,142,16,17,241,665,297,206,162,1,0
FUCARFR01,Frank,Fucarino,N,28,0,140,0,0,0,8,0,0,0,38,198,53,60,34,0,0
FUETSHE01,Herm,Fuetsch,N,42,0,109,0,0,0,17,0,0,0,39,140,42,40,25,0,0
FULKSJO01,Joe,Fulks,N,489,4490,8003,0,0,1379,587,0,0,0,1774,9338,2824,3075,2355,0,0
FULLECA01,Carl,Fuller,A,76,1214,433,0,0,358,60,0,0,7,220,386,176,135,81,1,0
FULLEHI01,Hiram,Fuller,N,4,43,8,4,7,11,2,0,1,4,5,8,3,6,2,0,0
FULLETO01,Tony,Fuller,N,15,248,60,13,29,42,28,10,1,23,25,66,24,16,12,1,0
FULLETO02,Todd,Fuller,N,225,2500,835,240,434,674,46,34,60,146,351,752,317,301,201,4,0
FUNDELA01,Lawrence,Funderburke,N,318,4726,2031,403,739,1142,183,94,100,225,360,1606,812,600,405,17,2
FURLOTE01,Terry,Furlow,N,239,4809,2550,211,296,507,568,159,69,374,298,2273,1044,508,438,82,24
GABORBI01,Billy,Gabor,N,307,3680,2997,0,0,448,626,0,0,0,1050,3141,1080,1136,837,0,0
GADZUDA01,Dan,Gadzuric,N,205,3803,1186,453,764,1217,67,120,263,153,535,945,496,373,194,2,0
GAINEBI01,Bill,Gaines,A,1,5,2,0,0,1,0,0,0,1,0,2,1,0,0,0,0
GAINECO01,Corey,Gaines,N,80,1001,248,12,57,69,247,39,3,72,98,217,92,72,53,48,11
GAINEDA01,David,Gaines,A,3,36,10,0,0,10,0,0,0,0,4,16,4,2,1,1,1
GAINEEL01,Elmer,Gainer,N,20,0,29,0,0,0,10,0,0,0,36,44,10,14,9,0,0
GAINERE01,Reece,Gaines,N,59,551,110,9,44,53,47,16,3,25,39,136,42,29,19,24,7
GALEMI01,Mike,Gale,A,389,9456,2831,0,811,1323,1181,509,168,653,931,2628,1191,594,436,66,13
GALEMI01,Mike,Gale,N,453,11189,3372,238,884,1122,1965,840,163,647,1010,3006,1425,628,518,25,4
GALLACH01,Chad,Gallagher,N,2,3,6,0,0,0,0,0,0,0,2,3,3,0,0,0,0
GALLAHA01,Harry,Gallatin,N,682,15813,8843,0,0,6684,1208,0,0,0,2086,7057,2810,4167,3223,0,0
GAMBEDA01,Dave,Gambee,N,750,14665,7935,0,0,3891,757,0,0,0,2180,6708,2820,2791,2295,0,0
GAMBLKE01,Kevin,Gamble,N,649,14508,6154,370,1087,1457,1300,470,176,587,1228,5106,2562,990,802,634,228
GANTTBO01,Bob,Gantt,N,23,0,71,0,0,0,5,0,0,0,45,89,29,28,13,0,0
GARCERU01,Ruben,Garces,N,13,73,16,16,13,29,5,3,2,5,14,22,7,8,2,0,0
GARCIAL01,Alex,Garcia,N,10,159,47,7,8,15,18,6,1,9,15,59,19,6,4,18,5
GARDNCH01,Chuck,Gardner,A,42,487,197,0,0,136,13,0,0,52,74,175,71,79,55,4,0
GARDNEA01,Earl,Gardner,N,50,0,89,0,0,0,19,0,0,0,50,101,38,28,13,0,0
GARDNKE01,Kenny,Gardner,A,9,51,14,0,13,13,3,2,1,1,9,18,6,2,2,0,0
GARDNVE01,Vern,Gardner,N,151,507,1339,0,0,349,245,0,0,0,445,1493,514,416,311,0,0
GARFIJA01,Jack,Garfinkel,N,92,0,476,0,0,0,134,0,0,0,159,754,207,88,62,0,0
GARLAGA01,Gary,Garland,N,78,1106,334,50,88,138,145,54,4,73,80,356,155,26,18,19,6
GARLAWI01,Winston,Garland,N,511,13388,4799,413,1020,1433,2421,674,80,975,1251,4444,1912,1087,902,260,73
GARMADI01,Dick,Garmaker,N,421,12155,5597,0,0,1748,1114,0,0,0,1168,5019,2022,1974,1553,0,0
GARNEBI01,Bill,Garnett,N,300,5260,1638,468,830,1298,393,159,173,332,832,1167,572,686,494,9,0
GARNEBI02,Bill,Garner,A,53,514,81,0,0,119,24,0,0,47,102,103,28,50,25,1,0
GARNECH01,Chris,Garner,N,46,442,72,9,27,36,63,28,6,34,68,107,30,13,8,21,4
GARNEKE01,Kevin,Garnett,N,775,29583,15681,2007,6594,8601,3525,1089,1343,2002,1965,12882,6311,3794,2915,481,144
GARNEMA01,Marlon,Garnett,N,24,205,51,3,18,21,18,5,1,12,18,51,15,20,15,23,6
GARRECA01,Calvin,Garrett,N,166,3008,855,139,297,436,242,94,18,165,327,820,375,129,99,20,6
GARREDE01,Dean,Garrett,N,359,6970,1737,584,1226,1810,204,168,372,203,687,1504,722,433,293,0,0
GARREEL01,Eldo,Garrett,N,339,8729,3475,15,25,1004,849,10,1,0,1024,3392,1436,699,603,0,0
GARRERO01,Rowland,Garrett,N,263,2905,1337,193,353,607,106,75,39,0,344,1273,562,276,213,0,0
GARRIJO01,John,Garris,N,33,267,131,35,42,77,10,8,6,11,40,102,52,34,27,0,0
GARRIKI01,Kiwane,Garris,N,31,248,72,3,17,20,30,7,2,16,22,75,24,25,19,15,5
GARRIPA01,Pat,Garrity,N,431,9565,3598,242,1021,1263,378,220,94,348,1094,3151,1329,471,378,1389,562
GARRITO01,Tom,Garrick,N,251,4718,1359,123,378,501,853,266,22,343,447,1159,543,346,268,60,5
GARVIJI01,Jim,Garvin,N,6,11,2,1,4,5,0,0,0,0,1,4,1,0,0,0,0
GASOLPA01,Pau,Gasol,N,298,10205,5374,593,1867,2460,785,156,542,761,746,3924,1983,1920,1401,36,7
GATESFR01,Frank,Gates,N,64,0,287,0,0,0,91,0,0,0,147,402,113,98,61,0,0
GATLICH01,Chris,Gatling,N,700,13761,7232,1201,2540,3741,461,464,375,1069,1870,5469,2804,2386,1574,201,50
GATTIKE01,Kenny,Gattison,N,494,9930,3923,744,1583,2327,444,290,327,602,1419,2956,1536,1309,850,12,1
GAYDAED01,Ed,Gayda,N,14,0,54,0,0,38,13,0,0,0,32,42,18,23,18,0,0
GAZEAN01,Andrew,Gaze,N,26,128,43,3,9,12,11,4,2,7,16,42,16,2,2,24,9
GEARYRE01,Reggie,Geary,N,101,931,209,23,59,82,110,50,14,57,131,227,78,67,33,61,20
GEIGEMA01,Matt,Geiger,N,552,12221,5059,1152,2006,3158,391,307,347,744,1629,4082,2039,1325,965,69,16
GEORGDE01,Devean,George,N,358,6571,2124,277,882,1159,360,241,139,286,732,2010,785,443,322,669,232
GEORGJA01,Jack,George,N,506,15860,5153,0,0,2129,2169,0,0,0,1242,5226,1901,1918,1351,0,0
GEORGTA01,Tate,George,N,177,2019,736,65,115,180,325,76,11,157,182,717,297,172,141,14,1
GERARGU01,Gus,Gerard,A,166,4429,2158,0,1092,1092,336,132,183,393,512,2015,886,517,381,15,5
GERARGU01,Gus,Gerard,N,280,3524,1607,291,428,719,224,151,135,161,484,1502,655,456,296,7,1
GERVIDE01,Derrick,Gervin,N,77,1082,676,69,106,175,38,39,26,57,135,591,257,203,155,31,7
GERVIGE01,George,Gervin,A,269,9061,5887,0,1867,1995,584,342,377,772,919,4836,2323,1439,1196,192,45
GERVIGE01,George,Gervin,N,791,26536,20708,1186,2421,3607,2214,941,670,2137,2331,15747,8045,5383,4541,259,77
GETCHGO01,Gorham,Getchell,N,16,0,5,0,0,0,0,0,0,0,5,8,0,5,5,0,0
GIANEJO01,John,Gianelli,N,541,13650,4210,967,2071,3188,832,225,476,275,1270,3823,1798,875,614,0,0
GIBBSDI01,Dick,Gibbs,N,333,4310,1739,159,231,624,260,67,35,0,629,1678,675,487,389,0,0
GIBSODE01,Dee,Gibson,N,44,0,281,0,0,0,126,0,0,0,113,245,77,177,127,0,0
GIBSOME01,Mel,Gibson,N,9,53,13,0,0,4,6,0,0,0,10,20,6,2,1,0,0
GIBSOMI01,Mike,Gibson,N,64,390,101,44,62,106,14,13,11,20,65,106,41,28,19,0,0
GIBSOWA01,Ward,Gibson,N,32,0,176,0,0,0,37,0,0,0,106,195,67,64,42,0,0
GILLEBE01,Ben,Gillery,N,24,84,25,7,16,23,2,2,4,5,29,19,6,23,13,0,0
GILLED01,Eddie,Gill,N,126,1713,474,20,146,166,172,83,10,116,168,411,151,145,123,156,49
GILLEGE01,Gene,Gillette,N,14,0,8,0,0,0,2,0,0,0,13,11,1,9,6,0,0
GILLEJA01,Jack,Gillespie,A,2,27,2,0,0,7,0,0,0,0,3,5,0,2,2,0,0
GILLIAR01,Armen,Gilliam,N,929,26421,12700,2117,4285,6402,1086,676,608,1723,2010,9897,4838,3896,3024,17,0
GILLIHE01,Herm,Gilliam,N,578,15026,6252,257,635,2175,2225,369,49,0,1519,6120,2696,1086,860,0,0
GILLKE01,Kendall,Gill,N,966,29482,12914,1250,2752,4002,2945,1519,432,1734,2514,11672,5068,3267,2463,1051,315
GILMOAR01,Artis,Gilmore,A,420,17449,9362,0,4202,7169,1273,178,1431,1579,1543,6588,3671,3022,2018,7,2
GILMOAR01,Artis,Gilmore,N,909,29685,15579,2639,6522,9161,1777,470,1747,2347,2986,9570,5732,5768,4114,13,1
GILMOWA01,Walt,Gilmore,N,27,261,58,0,0,73,12,0,0,0,49,54,23,26,12,0,0
GILMUCH01,Chuck,Gilmur,N,239,0,1392,0,0,75,348,0,0,0,896,1571,511,608,370,0,0
GINOBEM01,Emmanuel,Ginobili,N,220,5884,2698,208,626,834,717,351,60,433,541,1966,871,911,720,651,236
GIRICGO01,Gordan,Giricek,N,230,5847,2477,112,534,646,396,154,34,338,458,2159,949,478,396,506,183
GIVENJA01,Jack,Givens,N,156,2601,1040,212,244,456,142,123,36,134,253,1037,416,263,208,2,0
GLAMAGE01,George,Glamack,N,11,0,102,0,0,0,19,0,0,0,28,121,30,55,42,0,0
GLASSGE01,Gerald,Glass,N,201,3347,1553,228,284,512,298,130,58,179,361,1583,686,241,155,110,26
GLENNMI01,Mike,Glenn,N,593,9617,4496,152,558,710,952,318,43,429,893,3611,1958,669,572,28,8
GLICKNO01,Norman,Glick,N,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0
GLOUCGE01,Georgi,Glouchkov,N,49,772,239,31,132,163,32,26,25,76,124,209,84,122,70,1,1
GLOVECL01,Clarence,Glover,N,25,119,65,0,0,46,4,0,0,0,26,55,25,32,15,0,0
GLOVEDI01,Dion,Glover,N,294,6131,2407,141,756,897,455,233,65,370,487,2222,914,570,431,467,148
