ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
BURTTST01 ,Steve,Burtt,N,8,104,50,9,3,12,14,5,0,8,18,38,16,21,18,2,0
BUSEDO01  ,Don,Buse,A,49,1208,239,0,0,134,159,0,0,0,100,249,100,64,39,0,0
BUSEDO01  ,Don,Buse,N,20,428,109,23,8,36,73,14,1,20,29,107,42,23,16,23,9
BUSTIDA01 ,Dave,Bustion,A,1,11,10,0,0,1,1,0,0,0,3,7,2,7,6,0,0
BUTLECA01 ,Caron,Butler,N,13,511,167,92,18,110,31,28,7,23,45,153,59,57,47,11,2
BUTLEMI01 ,Mitchell,Butler,N,2,4,2,1,0,1,0,0,0,0,0,2,1,0,0,0,0
BUTLERA01 ,Rasual,Butler,N,22,240,77,28,1,29,9,2,1,3,33,81,31,3,1,39,14
BYRNEMA01 ,Marty,Byrnes,N,4,8,6,0,1,1,1,0,0,1,0,3,1,6,4,0,0
CABLEBA01 ,Barney,Cable,N,11,248,76,0,0,89,8,0,0,0,41,79,31,25,14,0,0
CAFFEJA01 ,Jason,Caffey,N,35,464,109,60,56,116,29,6,8,27,71,96,39,45,31,0,0
CAGEMI01  ,Michael,Cage,N,53,1105,261,175,127,302,30,37,34,39,120,216,113,71,35,2,0
CALABGE01 ,Gerry,Calabrese,N,6,53,24,0,0,8,4,0,0,0,18,24,10,4,4,0,0
CALDWAD01 ,Adrian,Caldwell,N,2,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0
CALDWJI01 ,Jim,Caldwell,A,12,238,69,0,0,80,19,0,0,0,36,66,26,27,17,0,0
CALDWJO01 ,Joe,Caldwell,A,16,572,222,0,0,95,53,0,0,0,49,197,96,62,30,0,0
CALDWJO01 ,Joe,Caldwell,N,45,1477,716,0,0,215,119,0,0,0,140,652,293,232,130,0,0
CALHOBI01 ,Bill,Calhoun,N,14,0,61,0,0,41,20,0,0,0,19,48,20,28,21,0,0
CALHOCO01 ,Corky,Calhoun,N,18,203,62,0,0,28,7,2,1,0,22,54,28,10,6,0,0
CALVIMA01 ,Mack,Calvin,A,56,1959,1177,0,0,189,297,0,0,0,122,870,405,437,367,0,0
CALVIMA01 ,Mack,Calvin,N,18,247,127,0,0,17,34,7,0,0,24,82,38,58,51,0,0
CAMBYMA01 ,Marcus,Camby,N,50,1414,423,302,108,410,40,41,93,46,184,351,164,158,94,4,1
CAMPBEL01 ,Elden,Campbell,N,106,2268,888,343,157,500,99,51,137,129,298,770,339,312,209,4,1
CAMPBTO01 ,Tony,Campbell,N,38,308,160,26,11,37,15,8,1,21,59,116,55,62,46,9,4
CARDFR01  ,Frank,Card,A,17,338,149,0,0,84,22,0,0,0,27,110,64,41,21,0,0
CARDIBR01 ,Brian,Cardinal,N,4,78,26,10,2,12,2,3,0,1,11,23,9,11,8,4,0
CARLIRI01 ,Rick,Carlisle,N,12,62,21,3,4,7,8,3,0,3,10,19,9,4,3,2,0
CARNEBO01 ,Bob,Carney,N,7,41,10,0,0,5,3,0,0,0,7,8,1,9,8,0,0
CARPEBO01 ,Bob,Carpenter,N,4,0,32,0,0,0,2,0,0,0,6,30,11,14,10,0,0
CARRAN01  ,Antoine,Carr,N,107,1832,731,181,94,275,103,27,92,86,383,586,301,173,128,3,1
CARRAU01  ,Austin,Carr,N,18,425,212,0,0,41,41,2,1,0,50,204,87,55,38,0,0
CARRCH01  ,Chris,Carr,N,4,44,24,6,3,9,5,2,1,5,6,16,9,5,4,5,2
CARRKE01  ,Kenny,Carr,N,35,893,368,144,65,230,37,18,12,51,126,299,153,85,62,2,0
CARRML01  ,M.l.,Carr,N,3,112,28,0,0,17,6,0,0,0,9,31,12,7,4,0,0
CARROJO01 ,Joe Barry,Carroll,N,19,511,261,69,25,94,26,18,32,38,60,234,105,64,51,1,0
CARTEAN01 ,Anthony,Carter,N,13,344,95,38,8,46,67,14,3,33,31,96,41,16,12,7,1
CARTEFR01 ,Fred,Carter,N,28,975,446,0,0,123,75,0,0,0,102,434,178,131,90,0,0
CARTEGE01 ,George,Carter,A,30,1119,568,0,0,246,60,0,0,0,112,461,215,166,138,0,0
CARTEHO01 ,Howard,Carter,N,5,60,15,4,1,5,5,4,1,5,3,22,7,0,0,5,1
CARTEJA01 ,Jake,Carter,N,8,0,10,0,0,0,3,0,0,0,12,21,3,6,4,0,0
CARTEMA01 ,Maurice,Carter,N,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CARTERE01 ,Reggie,Carter,N,1,7,0,1,1,2,0,0,0,1,4,1,0,0,0,0,0
CARTERO01 ,Ron,Carter,N,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CARTEVI01 ,Vince,Carter,N,19,837,492,75,55,130,98,32,24,50,74,426,172,141,116,90,32
CARTWBI01 ,Bill,Cartwright,N,124,3496,1100,461,207,668,162,54,57,192,412,866,417,367,266,0,0
CASSESA01 ,Sam,Cassell,N,103,2871,1346,239,47,286,498,89,16,228,337,1086,455,398,340,251,96
CATCHHA01 ,Harvey,Catchings,N,53,556,74,62,35,154,23,3,36,16,99,78,31,24,12,0,0
CATLETE01 ,Terry,Catledge,N,19,436,180,60,46,106,7,9,9,23,48,169,73,59,34,1,0
CATOKE01  ,Kelvin,Cato,N,17,249,61,30,23,53,5,7,12,11,43,48,23,28,15,1,0
CAUSWDU01 ,Duane,Causwell,N,8,55,11,11,1,12,2,1,0,3,6,6,2,10,7,1,0
CEBALCE01 ,Cedric,Ceballos,N,59,1213,577,177,86,263,62,41,26,66,80,483,225,136,101,80,26
CERVIAL01 ,Al,Cervi,N,27,116,216,0,0,43,106,0,0,0,102,159,50,134,116,0,0
CHAMBJE01 ,Jerry,Chambers,N,14,139,71,0,0,30,8,0,0,0,17,69,29,17,13,0,0
CHAMBTO01 ,Tom,Chambers,N,108,3061,1662,431,138,569,183,62,68,208,359,1380,607,509,421,88,27
CHAMBWI01 ,Wilt,Chamberlain,N,160,7559,3607,0,0,3913,673,0,0,0,402,2728,1425,1627,757,0,0
CHANDTY01 ,Tyson,Chandler,N,6,172,70,29,29,58,8,1,13,8,27,40,19,46,32,0,0
CHANEDO01 ,Don,Chaney,N,70,1835,570,0,0,250,156,0,0,0,229,511,230,142,110,0,0
CHAPMRE01 ,Rex,Chapman,N,13,394,183,24,4,28,28,8,0,22,30,155,65,36,26,72,27
CHAPMWA01 ,Wayne,Chapman,A,20,198,124,0,0,33,16,0,0,0,16,93,46,44,32,0,0
CHAPPLE01 ,Len,Chappell,A,4,89,29,0,0,18,3,0,0,0,13,24,12,8,5,0,0
CHAPPLE01 ,Len,Chappell,N,22,273,119,0,0,69,17,0,0,0,34,105,44,45,31,0,0
CHARLKE01 ,Ken,Charles,N,18,456,111,0,0,41,32,0,0,0,60,114,47,24,17,0,0
CHARLLO01 ,Lorenzo,Charles,N,4,15,7,2,0,2,2,0,0,0,1,4,3,1,1,0,0
CHEANCA01 ,Calbert,Cheaney,N,8,242,67,9,9,18,12,5,3,12,25,68,28,16,11,2,0
CHEEKMA01 ,Maurice,Cheeks,N,133,4848,1910,317,101,453,922,295,45,289,324,1509,772,466,362,41,4
CHENIPH01 ,Phil,Chenier,N,60,2088,1088,0,0,230,131,3,0,0,152,974,438,251,212,0,0
CHIEVDE01 ,Derrick,Chievous,N,7,68,37,2,7,9,4,2,1,6,9,27,11,19,15,0,0
CHILCPE01 ,Pete,Chilcutt,N,21,333,92,44,17,61,18,7,4,12,39,68,32,19,14,37,14
CHILDCH01 ,Chris,Childs,N,73,1953,516,188,27,215,319,62,4,150,248,452,180,125,102,148,54
CHOLLLE01 ,Leroy,Chollet,N,15,0,32,0,0,16,13,0,0,0,27,49,11,21,10,0,0
CHONEJI01 ,Jim,Chones,A,9,170,66,0,0,51,8,0,0,0,25,70,29,16,8,0,0
CHONEJI01 ,Jim,Chones,N,36,959,322,88,39,223,47,12,13,36,116,312,136,78,50,0,0
CHRISBO01 ,Bob,Christian,N,6,34,7,0,0,7,0,0,0,0,10,8,3,1,1,0,0
CHRISCA01 ,Cal,Christensen,N,11,180,42,0,0,45,16,0,0,0,22,39,12,32,18,0,0
CHRISDO01 ,Doug,Christie,N,58,1896,552,224,60,284,219,93,29,116,170,468,179,179,149,149,45
CHUBIST01 ,Steve,Chubin,A,11,55,28,0,0,3,0,0,0,0,0,17,8,14,12,0,0
CLARKAR01 ,Archie,Clark,N,71,2387,1125,0,0,229,297,0,0,0,197,977,444,307,237,0,0
CLARKCA01 ,Carlos,Clark,N,11,31,17,0,3,3,4,2,2,1,5,15,7,4,3,0,0
CLARKKE01 ,Keon,Clark,N,28,448,157,72,35,107,18,7,19,31,65,119,57,57,43,0,0
CLAWSJO01 ,John,Clawson,A,16,313,99,0,0,54,14,0,0,0,60,95,42,24,15,0,0
CLAXTSP01 ,Speedy,Claxton,N,29,375,137,38,8,46,59,21,5,27,46,117,50,50,37,1,0
CLEAMJI01 ,Jim,Cleamons,N,27,667,221,1,0,89,89,4,0,1,50,230,91,46,39,0,0
CLEMEJO01 ,John,Clemens,N,7,65,26,0,0,5,7,0,0,0,9,20,8,11,10,0,0
CLOSSBI01 ,Bill,Closs,N,11,21,103,0,0,16,23,0,0,0,32,123,36,38,31,0,0
COLEMBE01 ,Ben,Coleman,N,3,23,14,3,2,5,0,1,0,1,8,8,6,2,2,0,0
COLEMDE01 ,Derrick,Coleman,N,39,1457,656,278,108,386,108,30,59,82,111,487,230,211,170,74,26
COLEMJA01 ,Jack,Coleman,N,63,1573,631,0,0,621,216,0,0,0,224,646,249,206,133,0,0
COLESBI01 ,Bimbo,Coles,N,11,195,92,18,4,22,25,10,1,16,21,61,32,33,26,7,2
COLLIDO01 ,Doug,Collins,N,32,1218,687,0,0,131,111,3,0,0,95,536,282,159,123,0,0
COLLIDO02 ,Don,Collins,N,8,151,43,13,9,22,6,4,1,11,25,44,19,7,5,0,0
COLLIJA03 ,Jason,Collins,N,52,1150,217,134,102,236,42,23,28,50,190,179,63,123,91,2,0
COLLIJA04 ,Jarron,Collins,N,4,47,22,3,4,7,0,0,0,4,11,18,10,2,2,0,0
COLLINI01 ,Nick,Collison,N,11,218,92,33,22,55,5,3,5,6,40,61,37,27,17,1,1
COLTEST01 ,Steve,Colter,N,24,407,152,34,13,47,77,14,4,21,49,144,68,21,13,13,3
COMBSGL01 ,Glen,Combs,A,51,1545,735,0,0,141,144,0,0,0,134,678,286,207,163,0,0
CONGDJE01 ,Jeff,Congdon,A,26,607,210,0,0,59,118,0,0,0,69,202,78,66,54,0,0
CONLEGE01 ,Gene,Conley,N,33,482,169,0,0,222,11,0,0,0,119,187,70,47,29,0,0
CONLIED01 ,Ed,Conlin,N,35,665,253,0,0,120,39,0,0,0,60,289,94,96,65,0,0
CONLOMA01 ,Marty,Conlon,N,4,47,9,4,1,5,3,1,1,6,7,8,3,4,3,0,0
CONNELE01 ,Lester,Conner,N,13,94,31,8,5,13,13,5,1,1,8,18,12,7,6,1,1
COOKBE01  ,Bert,Cook,N,1,20,8,0,0,0,2,0,0,0,3,6,4,2,0,0,0
COOKBO01  ,Bobby,Cook,N,3,0,9,0,0,0,6,0,0,0,3,10,3,6,3,0,0
COOKBR01  ,Brian,Cook,N,13,45,12,9,3,12,1,1,0,3,7,15,5,2,2,0,0
COOKDA01  ,Darwin,Cook,N,25,525,208,34,20,54,82,30,4,46,70,223,86,46,30,25,6
COOKJE01  ,Jeff,Cook,N,30,468,167,76,35,111,31,12,10,23,71,108,55,74,56,2,1
COOKNO01  ,Norm,Cook,N,1,3,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0
COOPECH01 ,Chuck,Cooper,N,26,490,139,0,0,116,27,0,0,0,78,127,44,65,51,0,0
COOPEDU01 ,Duane,Cooper,N,2,4,0,0,2,2,1,0,0,0,0,6,0,0,0,3,0
COOPEMI01 ,Michael,Cooper,N,168,4744,1581,422,152,574,703,203,96,256,474,1244,582,355,293,316,124
COOPEWA01 ,Wayne,Cooper,N,74,1276,434,223,133,356,56,22,96,64,214,400,178,110,78,1,0
COPELLA01 ,Lanard,Copeland,N,4,9,4,1,0,1,0,0,0,1,1,6,2,0,0,0,0
CORBITY01 ,Tyrone,Corbin,N,81,2226,681,248,156,404,114,80,15,77,202,608,273,138,109,88,26
CORLERA01 ,Ray,Corley,N,6,0,17,0,0,0,10,0,0,0,5,36,6,11,5,0,0
CORZIDA01 ,Dave,Corzine,N,68,1332,430,202,103,330,71,23,37,75,137,396,180,99,70,0,0
COSTELA01 ,Larry,Costello,N,52,1471,592,0,0,171,218,0,0,0,210,476,198,230,196,0,0
COUNTME01 ,Mel,Counts,N,85,1462,648,0,0,519,100,0,0,0,263,599,255,178,138,0,0
COUSYBO01 ,Bob,Cousy,N,109,4125,2018,0,0,546,937,0,0,0,314,2016,689,779,640,0,0
COWENDA01 ,Dave,Cowens,N,89,3768,1684,228,78,1285,333,30,24,8,398,1627,733,293,218,2,0
CRAWFCH01 ,Chris,Crawford,N,7,129,61,14,7,21,5,1,2,8,21,48,16,28,25,14,4
CRAWFFR01 ,Fred,Crawford,N,35,606,258,0,0,97,73,0,0,0,89,252,105,76,48,0,0
CRISSCH01 ,Charlie,Criss,N,25,432,177,18,1,28,53,22,1,14,34,146,66,49,44,4,1
CRITCRU01 ,Russ,Critchfield,A,5,19,4,0,0,2,7,0,0,0,6,6,1,6,2,0,0
CROSHAU01 ,Austin,Croshere,N,59,1027,389,149,69,218,42,22,24,55,105,293,114,158,132,87,29
CROSSFR01 ,Francis,Crossin,N,2,0,26,0,0,0,4,0,0,0,3,27,9,9,8,0,0
CROTTJO01 ,John,Crotty,N,36,269,71,15,8,23,35,9,3,20,30,62,23,21,18,17,7
CROWDCO01 ,Corey,Crowder,N,4,12,10,1,1,2,1,1,0,2,1,9,5,1,0,2,0
CUMMIPA01 ,Pat,Cummings,N,30,454,160,74,38,112,22,6,4,22,59,159,67,31,26,0,0
CUMMITE01 ,Terry,Cummings,N,110,2959,1663,490,252,742,173,98,62,171,353,1351,678,435,307,6,0
CUMMIVO01 ,Vonteego,Cummings,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNNIBI01 ,Billy,Cunningham,N,39,1217,757,0,0,356,125,0,0,0,151,677,289,261,179,0,0
CUNNIDI01 ,Dick,Cunningham,N,27,151,47,0,0,39,5,0,0,0,22,40,20,11,7,0,0
CUNNIWI01 ,Willi,Cunningham,A,15,533,303,0,0,158,67,0,0,0,57,254,121,88,61,0,0
CUNNIWI01 ,Willi,Cunningham,N,39,1217,757,0,0,356,125,0,0,0,151,677,289,261,179,0,0
CURETEA01 ,Earl,Cureton,N,54,588,169,118,55,173,22,19,8,26,83,169,76,36,17,3,0
CURLEBI01 ,Bill,Curley,N,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURRAFR01 ,Fran,Curran,N,2,0,5,0,0,0,0,0,0,0,0,7,2,1,1,0,0
CURRYDE01 ,Dell,Curry,N,51,891,340,60,27,87,57,40,7,41,81,315,126,54,47,117,41
CURRYMI01 ,Michael,Curry,N,36,683,154,35,6,41,36,15,5,14,86,127,61,31,24,24,8
DAILEQU01 ,Quintin,Dailey,N,4,129,61,8,5,13,11,4,0,5,9,62,26,11,8,7,1
DALEMSA01 ,Samuel,Dalembert,N,5,192,58,46,18,64,2,2,7,9,19,47,26,15,6,0,0
DAMPIER01 ,Erick,Dampier,N,13,308,91,46,51,97,7,7,18,12,54,67,40,28,11,1,0
DAMPILO01 ,Lou,Dampier,A,94,3795,1465,0,0,286,617,0,0,0,196,1371,598,341,269,0,0
DAMPILO01 ,Lou,Dampier,N,15,246,67,0,0,15,32,7,3,0,19,67,29,15,9,0,0
DANDRBO01 ,Bob,Dandridge,N,98,3882,1967,0,0,754,365,44,29,0,377,1716,823,422,321,0,0
DANIEAN01 ,Antonio,Daniels,N,59,1247,501,95,17,112,136,37,5,47,65,365,169,148,127,95,36
DANIELL01 ,Lloyd,Daniels,N,12,140,50,13,11,24,5,3,1,7,12,50,19,8,7,15,5
DANIEMA01 ,Marquis,Daniels,N,16,349,151,40,25,65,29,16,6,28,29,135,58,49,33,13,2
DANIEME01 ,Mel,Daniels,A,109,3901,1901,0,0,1608,168,0,0,0,433,1648,740,616,421,0,0
DANILPR01 ,Predrag,Danilovic,N,3,60,25,0,1,1,4,1,0,3,8,18,9,3,3,10,4
DANTLAD01 ,Adrian,Dantley,N,73,2515,1558,207,130,395,169,69,6,160,188,1012,531,623,496,3,0
DANTMI01  ,Mike,D'antoni,N,4,42,18,0,0,7,1,0,0,0,6,14,7,4,4,0,0
DARKJE01  ,Jesse,Dark,N,2,11,7,0,0,1,1,0,0,0,2,6,1,5,5,0,0
DAUGHBR01 ,Brad,Daugherty,N,41,1600,782,330,89,419,137,27,40,92,113,530,275,307,232,2,0
DAVIEBO01 ,Bob,Davies,N,34,571,458,0,0,78,149,0,0,0,112,457,154,190,150,0,0
DAVISAN01 ,Antonio,Davis,N,93,2647,902,458,228,686,83,57,102,144,310,650,311,414,279,1,1
DAVISBA01 ,Baron,Davis,N,35,1310,633,122,38,160,226,82,17,86,116,531,220,182,123,202,70
DAVISBR01 ,Brad,Davis,N,45,950,341,64,11,75,167,16,6,74,89,236,125,91,77,32,14
DAVISCH02 ,Charlie,Davis,N,49,476,159,53,36,89,19,9,2,38,70,161,64,35,30,11,1
DAVISDA01 ,Dale,Davis,N,121,3575,890,687,383,1070,85,77,124,148,383,673,363,326,164,2,0
DAVISDW01 ,Dwight,Davis,N,11,142,50,0,0,28,10,0,0,0,28,37,16,22,18,0,0
DAVISED01 ,Edward,Davis,N,22,300,100,0,0,46,17,0,0,0,33,82,38,26,24,0,0
DAVISHU01 ,Hubert,Davis,N,49,821,251,36,10,46,44,12,8,48,83,225,92,48,36,83,31
DAVISJA01 ,James,Davis,N,33,382,142,0,0,92,16,0,0,0,62,114,49,63,44,0,0
DAVISJO01 ,Johnny,Davis,N,43,1070,445,27,8,78,157,11,2,17,80,392,178,114,89,3,0
DAVISJO02 ,Josh,Davis,N,2,4,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
DAVISLE01 ,Lee,Davis,A,10,71,34,0,0,33,6,0,0,0,14,35,13,13,8,0,0
DAVISME01 ,Mel,Davis,N,7,40,24,0,0,9,2,0,0,0,3,24,11,2,2,0,0
DAVISRI01 ,Ricky,Davis,N,11,363,134,29,8,37,28,11,2,33,30,114,48,42,31,19,7
DAVISWA01 ,Walt,Davis,N,21,172,67,0,0,69,7,0,0,0,51,64,25,22,17,0,0
DAVISWA02 ,Warren,Davis,A,6,180,78,0,0,48,31,0,0,0,26,58,28,29,22,0,0
DAVISWA03 ,Walter,Davis,N,65,2073,1407,92,47,225,306,84,16,110,181,1144,572,311,258,25,5
DAWKIDA01 ,Darryl,Dawkins,N,109,2734,1375,304,124,665,119,39,147,169,438,992,542,414,291,7,0
DAWKIJO01 ,Johnny,Dawkins,N,13,439,157,19,6,25,98,19,2,30,24,138,59,47,39,9,0
DAYEDA01  ,Darren,Daye,N,34,372,169,32,20,52,28,12,4,30,46,119,64,57,41,0,0
DAYTO01   ,Todd,Day,N,9,100,42,4,6,10,4,4,1,4,24,35,16,10,5,16,5
DEBUSDA01 ,Dave,Debusschere,N,96,3682,1536,0,0,1155,253,0,0,0,327,1523,634,395,268,0,0
DECLEAN01 ,Andrew,Declercq,N,13,167,48,24,15,39,3,4,7,12,45,34,20,15,8,0,0
DEEDO01   ,Don,Dee,A,12,41,8,0,0,10,1,0,0,0,10,13,4,0,0,0,0
DEESAR01  ,Archie,Dees,N,2,18,11,0,0,4,2,0,0,0,2,12,4,3,3,0,0
DEHERTE01 ,Terry,Dehere,N,2,5,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
DELEBI01  ,Bison,Dele,N,39,791,304,129,81,210,25,26,22,48,139,238,126,85,52,0,0
DELKTO01  ,Tony,Delk,N,37,900,358,92,34,126,71,29,9,43,65,294,126,78,59,110,47
DELNEVI01 ,Vinny,Del Negro,N,54,1368,473,101,17,118,151,34,6,47,97,425,193,69,56,72,31
DEMBOFE01 ,Fennis,Dembo,N,2,4,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0
DEMICLA01 ,Larry,Demic,N,2,37,9,2,5,7,0,0,1,0,3,5,4,2,1,0,0
DEMPSGE01 ,George,Dempsey,N,25,338,105,0,0,64,35,0,0,0,35,87,38,49,29,0,0
DENTORA01 ,Randy,Denton,A,6,236,113,0,0,80,11,0,0,0,18,92,49,22,15,0,0
DEPREJO01 ,Joe,Depre,A,20,245,87,0,0,26,19,0,0,0,45,79,34,27,19,0,0
DERLIRO01 ,Rod,Derline,N,10,105,48,0,0,17,8,0,0,0,10,43,20,9,8,0,0
DEUTSDA01 ,Dave,Deutsch,N,1,7,2,0,0,3,1,0,0,0,0,5,1,0,0,0,0
DEVLIWA01 ,Walter,Devlin,N,11,300,110,0,0,26,28,0,0,0,26,109,47,26,16,0,0
DIALDE01  ,Derrick,Dial,N,2,8,5,0,2,2,0,0,0,0,1,4,2,2,1,0,0
DICKECL01 ,Clyde,Dickey,A,1,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
DICKEDE01 ,Derrek,Dickey,N,27,430,179,0,0,115,17,0,0,0,55,140,78,33,23,0,0
DICKEDI01 ,Dick,Dickey,N,3,31,8,0,0,3,5,0,0,0,7,8,1,7,6,0,0
DICKEHE01 ,Henry,Dickerson,N,5,15,9,0,0,4,3,0,0,0,1,9,4,2,1,0,0
DICKEMI01 ,Michael,Dickerson,N,4,82,17,2,2,4,3,2,3,2,8,22,6,4,2,8,3
DICKSJO01 ,John,Dickson,A,1,3,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
DIERKCO01 ,Connie,Dierking,N,20,352,153,0,0,129,23,0,0,0,45,158,63,35,27,0,0
DIETRCO01 ,Coby,Dietrick,A,22,534,169,0,0,111,46,0,0,0,71,133,71,38,27,0,0
DIETRCO01 ,Coby,Dietrick,N,28,522,156,12,3,114,39,19,11,2,82,164,73,20,10,3,0
DIGREER01 ,Ernie,Digregorio,N,15,457,150,0,0,29,97,0,0,0,43,148,67,17,16,0,0
DILLCR01  ,Craig,Dill,A,6,15,7,0,0,6,2,0,0,0,5,8,3,1,1,0,0
DILLOJO01 ,John,Dillon,N,1,0,4,0,0,0,0,0,0,0,2,1,1,2,2,0,0
DINKIJA01 ,Jackie,Dinkins,N,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
DISCHTE01 ,Terry,Dischinger,N,6,154,56,0,0,29,9,0,0,0,19,56,21,19,14,0,0
DIVACVL01 ,Vlade,Divac,N,121,3728,1468,606,307,913,286,117,165,260,439,1128,541,510,373,54,13
DIXONJU01 ,Juan,Dixon,N,10,219,114,23,3,26,13,7,0,12,19,101,41,25,21,34,11
DOLEAMI01 ,Michael,Doleac,N,22,202,55,34,13,47,4,4,2,9,37,60,23,11,9,1,0
DONALJA01 ,James,Donaldson,N,51,1379,401,282,118,400,35,18,42,59,111,244,153,122,95,0,0
DONHABO01 ,Bob,Donham,N,17,348,93,0,0,54,38,0,0,0,81,81,31,76,31,0,0
DONOVHA01 ,Harry,Donovan,N,3,0,2,0,0,0,0,0,0,0,4,4,0,2,2,0,0
DOOLIKE01 ,Keyon,Dooling,N,15,264,110,15,1,16,25,6,1,14,34,87,43,21,17,19,7
DORSEJA01 ,Jacky,Dorsey,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLLE01 ,Leon,Douglas,N,18,375,55,47,18,75,14,4,3,18,58,45,19,42,17,0,0
DOUGLSH01 ,Sherman,Douglas,N,17,524,178,40,18,58,106,14,1,46,35,182,73,38,26,22,6
DOVELL01  ,Lloyd,Dove,A,12,313,133,0,0,82,10,0,0,0,10,107,53,43,27,0,0
DOVELL01  ,Lloyd,Dove,N,2,6,4,0,0,2,0,0,0,0,0,4,2,0,0,0,0
DOWNIST01 ,Steve,Downing,N,1,4,2,0,0,2,0,0,0,0,1,2,1,0,0,0,0
DREILGR01 ,Greg,Dreiling,N,9,89,17,12,8,20,0,0,0,3,22,18,6,6,4,1,1
DREWBR01  ,Bryce,Drew,N,3,9,4,2,1,3,4,0,0,0,1,2,2,2,0,0,0
DREWJO01  ,John,Drew,N,29,735,405,39,26,140,24,21,5,28,103,350,151,142,103,0,0
DREWLA01  ,Larry,Drew,N,31,293,95,15,0,15,50,11,0,18,33,85,38,17,14,18,5
DREXLCL01 ,Clyde,Drexler,N,145,5572,2963,653,359,1012,891,278,108,397,486,2408,1076,851,670,489,141
DRISCTE01 ,Terry,Driscoll,N,16,47,15,0,0,15,4,0,0,0,14,15,6,3,3,0,0
DROBNPR01 ,Predrag,Drobnjak,N,3,38,10,5,3,8,2,1,0,1,2,12,4,4,2,0,0
DUCKWKE01 ,Kevin,Duckworth,N,67,1956,785,252,143,395,84,30,34,155,246,723,323,198,139,1,0
DUDLECH01 ,Charles,Dudley,N,36,608,167,0,0,91,124,0,0,0,80,118,56,84,55,0,0
DUDLECH02 ,Chris,Dudley,N,59,825,118,149,88,237,17,25,29,28,171,108,44,66,30,0,0
DUEROTE01 ,Terry,Duerod,N,10,12,8,0,0,0,0,1,0,1,0,10,4,0,0,2,0
DUFFYBO02 ,Bob,Duffy,N,5,24,14,0,0,3,3,0,0,0,3,15,6,2,2,0,0
DUHONCH01 ,Chris,Duhon,N,6,159,37,20,6,26,21,2,0,12,6,37,11,11,9,22,6
DUKESWA01 ,Walter,Dukes,N,35,1156,447,0,0,432,51,0,0,0,168,363,151,204,145,0,0
DUMARJO01 ,Joe,Dumars,N,112,4097,1752,162,95,257,512,91,6,205,227,1398,646,476,407,148,53
DUMASRI01 ,Richard,Dumas,N,23,499,251,29,36,65,24,21,13,27,52,204,107,49,37,2,0
DUNCAAN01 ,Andy,Duncan,N,2,0,6,0,0,0,1,0,0,0,5,3,2,2,2,0,0
DUNCATI01 ,Tim,Duncan,N,105,4308,2502,989,373,1362,381,69,293,344,317,1845,917,947,665,21,3
DUNLEMI01 ,Mike,Dunleavy,N,67,1228,473,74,24,103,194,48,2,86,173,407,176,104,89,101,32
DUNNPA01  ,Pat,Dunn,N,3,8,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0
DUNNTR01  ,T.r.,Dunn,N,76,1634,265,179,127,317,104,95,13,49,180,244,109,68,47,0,0
DUPRERO01 ,Ronald,Dupree,N,14,38,4,4,2,6,0,0,0,1,6,7,2,0,0,0,0
DUVALDE01 ,Dennis,Duval,N,5,14,7,0,0,3,3,0,0,0,1,9,3,2,1,0,0
DYKEMCR01 ,Craig,Dykema,N,6,12,2,4,0,4,1,0,0,1,2,6,1,0,0,0,0
EAKINJI01 ,Jim,Eakins,A,75,1897,841,0,0,558,117,0,0,0,257,587,317,272,207,0,0
EAKINJI01 ,Jim,Eakins,N,3,18,2,0,0,1,1,1,0,0,2,5,1,0,0,0,0
EARLAC01  ,Acie,Earl,N,1,10,2,1,1,2,0,0,1,0,4,3,1,2,0,0,0
EATONMA01 ,Mark,Eaton,N,74,2295,454,388,169,557,52,35,210,81,250,368,180,147,94,0,0
EAVESJE01 ,Jerry,Eaves,N,11,132,55,7,3,10,13,5,2,7,10,46,22,13,10,3,1
EBERHAL01 ,Al,Eberhard,N,11,224,55,0,0,35,9,0,0,0,20,48,18,27,19,0,0
EBRONRO01 ,Roy,Ebron,A,7,41,17,0,0,15,2,0,0,0,6,19,6,10,5,0,0
EDDLETH01 ,Thomas,Eddleman,N,12,100,87,0,0,12,13,0,0,0,45,84,32,47,23,0,0
EDGECH01  ,Charlie,Edge,A,7,42,4,0,0,9,2,0,0,0,6,8,2,0,0,0,0
