ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
WESTJE01  ,1968,Jerry,West,LAL,N,18,757,556,0,0,71,135,0,0,0,52,423,196,204,164,0,0
WILBUKE01 ,1968,Ken,Wilburn,DEN,A,7,93,36,0,0,32,5,0,0,0,21,33,16,16,4,0,0
WILLICH01 ,1968,Charlie,Williams,MNP,A,7,255,109,0,0,24,14,0,0,0,28,112,41,39,27,0,0
WILLIRO01 ,1968,Ron,Williams,SFW,N,4,42,24,0,0,4,3,0,0,0,4,26,10,4,4,0,0
WILSOGE01 ,1968,George,Wilson,PHI,N,5,45,3,0,0,18,8,0,0,0,9,7,0,4,3,0,0
WILSOJA01 ,1968,Jasper,Wilson,NOB,A,10,92,39,0,0,26,2,0,0,0,20,42,11,23,17,0,0
WORKMTO01 ,1968,Tom,Workman,BAL,N,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ABDULKA01 ,1969,Kareem,Abdul-jabbar,MIL,N,10,435,352,0,0,168,41,0,0,0,25,245,139,101,74,0,0
ANDERAN01 ,1969,Andy,Anderson,LAS,A,16,307,128,0,0,37,0,0,0,0,0,134,50,31,28,0,0
BARNEDI01 ,1969,Dick,Barnett,NYK,N,19,714,321,0,0,39,64,0,0,0,64,280,131,76,59,0,0
BARNHJO01 ,1969,John,Barnhill,IND,A,14,317,77,0,0,33,25,0,0,0,41,88,28,41,21,0,0
BARRYRI01 ,1969,Rick,Barry,WAC,A,7,302,278,0,0,70,23,0,0,0,0,203,108,68,62,0,0
BAYLOEL01 ,1969,Elgin,Baylor,LAL,N,18,667,336,0,0,173,83,0,0,0,50,296,138,81,60,0,0
BEARDAL01 ,1969,Al,Beard,ATL,N,9,146,81,0,0,26,8,0,0,0,19,65,31,26,19,0,0
BEASLCH01 ,1969,Charlie,Beasley,DLC,A,5,110,44,0,0,10,23,0,0,0,0,36,18,9,8,0,0
BEASLJO01 ,1969,John,Beasley,DLC,A,6,219,108,0,0,64,19,0,0,0,0,86,50,9,8,0,0
BECKBY01  ,1969,Byron,Beck,DEN,A,12,439,190,0,0,144,19,0,0,0,41,176,77,47,36,0,0
BECKEAR01 ,1969,Art,Becker,IND,A,15,227,93,0,0,58,5,0,0,0,36,69,36,24,21,0,0
BELLAWA01 ,1969,Walt,Bellamy,ATL,N,9,368,151,0,0,140,35,0,0,0,32,126,59,46,33,0,0
BOERWTO01 ,1969,Tom,Boerwinkle,CHI,N,5,177,88,0,0,72,16,0,0,0,19,79,40,13,8,0,0
BOONERO01 ,1969,Ron,Boone,DLC,A,6,193,107,0,0,49,54,0,0,0,0,97,46,21,15,0,0
BOWMANA01 ,1969,Nate,Bowman,NYK,N,18,128,43,0,0,44,6,0,0,0,34,47,18,10,7,0,0
BRADDGA01 ,1969,Gary,Bradds,WAC,A,6,116,56,0,0,17,3,0,0,0,0,61,25,12,6,0,0
BRADLBI01 ,1969,Bill,Bradley,NYK,N,19,616,235,0,0,72,60,0,0,0,59,233,100,43,35,0,0
BRIDGBI01 ,1969,Bill,Bridges,ATL,N,9,381,104,0,0,154,29,0,0,0,37,110,44,27,16,0,0
BROWNRO01 ,1969,Rogera,Brown,IND,A,15,693,410,0,0,151,84,0,0,0,58,318,151,131,108,0,0
CALDWJO01 ,1969,Joe,Caldwell,ATL,N,9,393,225,0,0,45,38,0,0,0,34,198,93,60,39,0,0
CALVIMA01 ,1969,Mack,Calvin,LAS,A,17,593,388,0,0,63,101,0,0,0,0,294,133,156,122,0,0
CARDFR01  ,1969,Frank,Card,WAC,A,7,197,87,0,0,49,13,0,0,0,0,61,37,27,13,0,0
CARTEFR01 ,1969,Fred,Carter,BAL,N,7,253,99,0,0,31,24,0,0,0,27,107,41,28,17,0,0
CARTEGE01 ,1969,George,Carter,WAC,A,3,65,26,0,0,18,2,0,0,0,0,21,11,5,4,0,0
CHAMBJE01 ,1969,Jerry,Chambers,PHO,N,7,73,33,0,0,17,7,0,0,0,6,37,14,8,5,0,0
CHAMBWI01 ,1969,Wilt,Chamberlain,LAL,N,18,851,398,0,0,399,81,0,0,0,42,288,158,202,82,0,0
CHAPMWA01 ,1969,Wayne,Chapman,KEN,A,10,148,101,0,0,22,12,0,0,0,0,75,37,36,27,0,0
CHAPPLE01 ,1969,Len,Chappell,MIL,N,9,133,69,0,0,26,5,0,0,0,10,50,28,19,13,0,0
CHUBIST01 ,1969,Steve,Chubin,KEN,A,11,55,28,0,0,3,0,0,0,0,0,17,8,14,12,0,0
CLARKAR01 ,1969,Archie,Clark,PHI,N,5,146,68,0,0,14,18,0,0,0,10,60,26,22,16,0,0
COMBSGL01 ,1969,Glen,Combs,DLC,A,6,251,136,0,0,23,31,0,0,0,0,124,56,31,24,0,0
CONGDJE01 ,1969,Jeff,Congdon,DEN,A,12,313,110,0,0,33,68,0,0,0,41,118,43,32,24,0,0
COUNTME01 ,1969,Mel,Counts,LAL,N,14,212,85,0,0,74,16,0,0,0,48,88,37,13,11,0,0
CRAWFFR01 ,1969,Fred,Crawford,MIL,N,10,208,88,0,0,35,37,0,0,0,27,88,34,24,20,0,0
CUNNIBI01 ,1969,Billy,Cunningham,PHI,N,5,205,146,0,0,52,20,0,0,0,19,123,61,36,24,0,0
CUNNIDI01 ,1969,Dick,Cunningham,MIL,N,8,45,21,0,0,12,2,0,0,0,6,18,10,2,1,0,0
CUNNIWI01 ,1969,Willi,Cunningham,PHI,N,5,205,146,0,0,52,20,0,0,0,19,123,61,36,24,0,0
DAMPILO01 ,1969,Lou,Dampier,KEN,A,12,526,187,0,0,45,81,0,0,0,0,198,73,53,41,0,0
DANDRBO01 ,1969,Bob,Dandridge,MIL,N,10,399,163,0,0,87,57,0,0,0,39,142,72,29,19,0,0
DANIEME01 ,1969,Mel,Daniels,IND,A,15,533,290,0,0,265,15,0,0,0,62,243,108,111,74,0,0
DAVISJA01 ,1969,James,Davis,ATL,N,9,117,38,0,0,30,6,0,0,0,24,37,14,17,10,0,0
DEBUSDA01 ,1969,Dave,Debusschere,NYK,N,19,701,305,0,0,220,46,0,0,0,63,309,130,68,45,0,0
DOVELL01  ,1969,Lloyd,Dove,NYN,A,7,281,122,0,0,71,9,0,0,0,0,97,48,39,26,0,0
EAKINJI01 ,1969,Jim,Eakins,WAC,A,7,65,31,0,0,14,5,0,0,0,0,24,14,3,3,0,0
EGANJO01  ,1969,Johnny,Egan,LAL,N,16,162,56,0,0,5,22,0,0,0,20,43,23,11,10,0,0
ELLISLE01 ,1969,Leroy,Ellis,BAL,N,3,8,2,0,0,3,0,0,0,0,0,4,0,2,2,0,0
ERICKKE01 ,1969,Keith,Erickson,LAL,N,17,553,169,0,0,77,74,0,0,0,44,153,71,35,27,0,0
FOWLECA01 ,1969,Cal,Fowler,CAR,A,4,76,19,0,0,13,0,0,0,0,0,14,6,10,7,0,0
FOXJI01   ,1969,Jim,Fox,PHO,N,6,174,67,0,0,64,8,0,0,0,20,69,25,24,17,0,0
FRAZIWA01 ,1969,Walt,Frazier,NYK,N,19,834,304,0,0,149,156,0,0,0,53,247,118,89,68,0,0
GARREEL01 ,1969,Eldo,Garrett,LAL,N,18,595,230,0,0,52,39,0,0,0,68,198,101,32,28,0,0
GOODRGA01 ,1969,Gail,Goodrich,PHO,N,7,265,142,0,0,32,38,0,0,0,21,118,56,35,30,0,0
GREACBO01 ,1969,Bob,Greacen,MIL,N,1,8,2,0,0,2,3,0,0,0,0,4,1,1,0,0,0
GREENLA01 ,1969,Lamar,Green,PHO,N,6,69,18,0,0,23,5,0,0,0,8,28,8,5,2,0,0
GREENLU01 ,1969,Luther,Green,NYN,A,7,82,32,0,0,28,3,0,0,0,0,29,11,15,10,0,0
GREERHA01 ,1969,Hal,Greer,PHI,N,5,178,77,0,0,17,27,0,0,0,16,74,33,13,11,0,0
GREGOGA01 ,1969,Gary,Gregor,ATL,N,7,67,16,0,0,17,2,0,0,0,14,21,6,6,4,0,0
GUERIRI01 ,1969,Richie,Guerin,ATL,N,2,56,33,0,0,8,4,0,0,0,6,21,13,7,7,0,0
GUOKAMA01 ,1969,Matt,Guokas,PHI,N,2,23,13,0,0,3,1,0,0,0,1,8,6,1,1,0,0
HAIRSHA01 ,1969,Happy,Hairston,LAL,N,16,296,118,0,0,76,20,0,0,0,31,108,47,35,24,0,0
HALIMSH01 ,1969,Shaler,Halimon,CHI,N,5,106,44,0,0,20,18,0,0,0,13,61,21,3,2,0,0
HAMMOJU01 ,1969,Julian,Hammond,DEN,A,12,395,192,0,0,79,34,0,0,0,49,170,85,36,22,0,0
HARGEIR01 ,1969,Ira,Harge,WAC,A,7,267,71,0,0,95,19,0,0,0,0,67,30,18,11,0,0
HARRIAR01 ,1969,Art,Harris,PHO,N,7,89,30,0,0,13,12,0,0,0,13,42,15,2,0,0,0
HASKICL01 ,1969,Clem,Haskins,CHI,N,5,154,81,0,0,16,25,0,0,0,13,68,32,19,17,0,0
HAWKICO01 ,1969,Connie,Hawkins,PHO,N,7,328,178,0,0,97,41,0,0,0,22,150,62,66,54,0,0
HAYWOSP01 ,1969,Spencer,Haywood,DEN,A,12,568,439,0,0,237,39,0,0,0,31,362,185,83,69,0,0
HEANEBR01 ,1969,Brian,Heaney,BAL,N,6,7,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
HETZEFR01 ,1969,Fred,Hetzel,PHI,N,5,75,35,0,0,18,3,0,0,0,10,25,13,11,9,0,0
HOSKEWI01 ,1969,Wilmer,Hosket,NYK,N,5,29,11,0,0,5,2,0,0,0,6,10,4,4,3,0,0
HUDSOLO01 ,1969,Lou,Hudson,ATL,N,9,360,197,0,0,40,33,0,0,0,34,187,78,50,41,0,0
HUNTELE01 ,1969,Les,Hunter,NYN,A,7,233,110,0,0,42,11,0,0,0,0,100,45,29,20,0,0
IMHOFDA01 ,1969,Darrall,Imhoff,PHI,N,5,138,45,0,0,35,11,0,0,0,23,48,22,7,1,0,0
JABALWA01 ,1969,Warren,Jabali,OAK,A,16,662,460,139,68,207,46,0,0,79,56,350,161,202,135,17,3
JACKSLU01 ,1969,Lucious,Jackson,PHI,N,5,73,20,0,0,33,3,0,0,0,11,19,9,2,2,0,0
JACKSME01 ,1969,Merv,Jackson,LAS,A,17,526,243,0,0,74,53,0,0,0,0,229,102,48,39,0,0
JOHNSED01 ,1969,Ed,Johnson,NYN,A,7,216,94,0,0,67,5,0,0,0,0,69,32,52,30,0,0
JOHNSGU01 ,1969,Gus,Johnson,BAL,N,7,298,129,0,0,80,9,0,0,0,20,111,51,34,27,0,0
JOHNSNE02 ,1969,Neil,Johnston,PHO,N,2,7,2,0,0,4,0,0,0,0,4,3,1,0,0,0,0
JONESLA01 ,1969,Larry,Jones,DEN,A,12,535,314,0,0,64,76,0,0,0,41,207,113,101,88,0,0
JONESRI01 ,1969,Rich,Jones,DLC,A,6,91,36,0,0,23,5,0,0,0,0,40,16,8,4,0,0
JONESWA01 ,1969,Wali,Jones,PHI,N,5,160,79,0,0,11,24,0,0,0,16,65,34,14,11,0,0
KAUFFBO01 ,1969,Bob,Kauffman,CHI,N,3,14,4,0,0,6,4,0,0,0,2,3,1,3,2,0,0
KEYEJU01  ,1969,Julius,Keye,DEN,A,7,138,23,0,0,29,6,0,0,0,16,42,10,6,3,0,0
KRAMEST01 ,1969,Steve,Kramer,CAR,A,2,20,7,0,0,4,0,0,0,0,0,5,2,3,3,0,0
LEAKSEM01 ,1969,Emanuel,Leaks,DLC,A,6,237,121,0,0,86,9,0,0,0,0,98,48,35,25,0,0
LEWISFR01 ,1969,Freddie,Lewis,IND,A,14,532,275,0,0,57,54,0,0,0,50,234,89,116,97,0,0
LOUGHKE01 ,1969,Kevin,Loughery,BAL,N,7,153,67,0,0,16,8,0,0,0,24,77,26,21,15,0,0
LOVEBO01  ,1969,Bob,Love,CHI,N,5,172,59,0,0,46,4,0,0,0,12,52,20,24,19,0,0
LYNNMI01  ,1969,Mike,Lynn,LAL,N,3,6,4,0,0,2,1,0,0,0,1,3,2,0,0,0,0
MAHAFRA01 ,1969,Randy,Mahaffey,CAR,A,4,91,48,0,0,27,8,0,0,0,0,38,19,14,10,0,0
MANNIED01 ,1969,Ed,Manning,CHI,N,2,29,11,0,0,9,3,0,0,0,2,10,5,2,1,0,0
MARINJA01 ,1969,Jack,Marin,BAL,N,7,265,125,0,0,47,22,0,0,0,27,114,48,34,29,0,0
MAYDO01   ,1969,Don,May,NYK,N,2,7,4,0,0,0,0,0,0,0,2,3,2,0,0,0,0
MCCARWI01 ,1969,Willie,Mccarter,LAL,N,5,14,7,0,0,3,3,0,0,0,2,7,3,1,1,0,0
MCGLOJO01 ,1969,Jon,Mcglocklin,MIL,N,10,377,149,0,0,36,21,0,0,0,22,144,62,31,25,0,0
MCHARMA01 ,1969,Maurice,Mchartley,DLC,A,5,51,24,0,0,11,0,0,0,0,0,25,8,10,8,0,0
MCKENST01 ,1969,Stan,Mckenzie,PHO,N,7,71,20,0,0,9,3,0,0,0,14,29,8,5,4,0,0
MELCHBI01 ,1969,Bill,Melchionni,NYN,A,7,316,127,0,0,22,33,0,0,0,0,104,48,38,31,0,0
MILESED01 ,1969,Eddie,Miles,BAL,N,5,63,8,0,0,5,0,0,0,0,5,10,4,0,0,0,0
MILLEJA01 ,1969,Jay,Miller,IND,A,3,10,2,0,0,4,0,0,0,0,4,5,1,0,0,0,0
MOEDO01   ,1969,Doug,Moe,CAR,A,4,168,62,0,0,26,25,0,0,0,0,76,25,16,12,0,0
MONROEA01 ,1969,Earl,Monroe,BAL,N,7,299,196,0,0,23,28,0,0,0,23,154,74,60,48,0,0
MURREWI01 ,1969,Willie,Murrell,KEN,A,7,35,8,0,0,11,1,0,0,0,0,11,3,5,2,0,0
NEWMADA01 ,1969,Dave,Newmark,ATL,N,6,42,34,0,0,12,2,0,0,0,8,33,15,4,4,0,0
NIEMARI01 ,1969,Rich,Niemann,CAR,A,4,51,15,0,0,12,0,0,0,0,0,16,6,3,3,0,0
OGDENCA01 ,1969,Carlos,Ogden,PHI,N,1,12,12,0,0,1,6,0,0,0,0,9,5,4,2,0,0
OLSENEN01 ,1969,Enoch,Olsen,KEN,A,12,211,37,0,0,61,0,0,0,0,0,43,18,7,1,0,0
PEEPLGE01 ,1969,George,Peeples,CAR,A,4,126,39,0,0,54,4,0,0,0,0,42,15,13,9,0,0
PETERME01 ,1969,Mel,Peterson,LAS,A,4,22,7,0,0,6,0,0,0,0,0,6,3,2,1,0,0
PIATKWA01 ,1969,Walt,Piatkowski,DEN,A,6,50,26,0,0,11,4,0,0,0,9,24,12,4,2,0,0
POWELCI01 ,1969,Cincy,Powell,DLC,A,6,219,131,0,0,81,29,0,0,0,0,108,51,41,29,0,0
RAYMOCR01 ,1969,Craig,Raymond,LAS,A,17,664,296,0,0,254,41,0,0,0,0,240,113,91,70,0,0
REEDWI01  ,1969,Willis,Reed,NYK,N,18,732,426,0,0,248,51,0,0,0,60,378,178,95,70,0,0
RIORDMI01 ,1969,Mike,Riordan,NYK,N,19,296,131,0,0,46,27,0,0,0,33,109,53,35,25,0,0
ROBERRI01 ,1969,Rick,Roberson,LAL,N,9,61,22,0,0,16,0,0,0,0,13,18,8,10,6,0,0
ROBINFL01 ,1969,Flynn,Robinson,MIL,N,10,300,128,0,0,23,50,0,0,0,22,129,42,50,44,0,0
RODGEGU01 ,1969,Guy,Rodgers,MIL,N,7,68,17,0,0,4,21,0,0,0,7,14,4,12,9,0,0
RUSSECA01 ,1969,Cazzie,Russell,NYK,N,19,306,178,0,0,47,16,0,0,0,31,165,80,19,18,0,0
SCOTTRA01 ,1969,Ray,Scott,BAL,N,7,90,32,0,0,21,4,0,0,0,8,34,11,14,10,0,0
SILASPA01 ,1969,Paul,Silas,PHO,N,7,286,113,0,0,111,30,0,0,0,29,109,46,32,21,0,0
SIMONWA01 ,1969,Walt,Simon,NYN,A,7,222,101,0,0,53,21,0,0,0,0,78,39,28,23,0,0
SLOANJE01 ,1969,Jerry,Sloan,CHI,N,5,190,74,0,0,39,11,0,0,0,18,74,29,25,16,0,0
SMITHDO01 ,1969,Don,Smith,MIL,N,7,82,30,0,0,26,4,0,0,0,5,19,11,10,8,0,0
SMITHGR01 ,1969,Greg,Smith,MIL,N,10,329,107,0,0,85,22,0,0,0,34,94,47,22,13,0,0
SMITHJO02 ,1969,John,Smith,NYN,A,2,10,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
SMITHSA01 ,1969,Sammy,Smith,KEN,A,12,354,136,0,0,96,12,0,0,0,0,99,54,38,28,0,0
STALLDA01 ,1969,Dave,Stallworth,NYK,N,19,275,137,0,0,77,20,0,0,0,35,133,61,16,15,0,0
STONEGE01 ,1969,George,Stone,LAS,A,17,724,388,0,0,158,42,0,0,0,0,388,165,77,58,0,0
TARTLA01  ,1969,Levern,Tart,NYN,A,7,313,185,0,0,30,36,0,0,0,0,143,70,52,45,0,0
TAYLORO01 ,1969,Ron,Taylor,NYN,A,2,5,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0
TAYLORO02 ,1969,Roland,Taylor,WAC,A,7,129,10,0,0,22,19,0,0,0,0,11,5,0,0,0,0
THACKTO01 ,1969,Tom,Thacker,IND,A,14,187,30,0,0,48,36,0,0,0,37,38,12,11,6,0,0
TINSLGE01 ,1969,George,Tinsley,KEN,A,12,270,114,0,0,64,16,0,0,0,0,91,41,44,32,0,0
TRESVJO01 ,1969,John,Tresvant,LAL,N,11,148,65,0,0,38,16,0,0,0,22,51,23,23,19,0,0
TUCKEAL01 ,1969,Al,Tucker,BAL,N,4,5,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0
UNSELWE01 ,1969,Wes,Unseld,BAL,N,7,289,73,0,0,165,24,0,0,0,25,70,29,19,15,0,0
VANARTO01 ,1969,Tom,Vanarsdale,PHO,N,7,255,115,0,0,18,29,0,0,0,23,100,43,33,29,0,0
VERGABO01 ,1969,Bob,Verga,CAR,A,4,156,104,0,0,11,10,0,0,0,0,102,48,11,8,0,0
WALKECH01 ,1969,Chet,Walker,CHI,N,5,178,97,0,0,42,11,0,0,0,14,83,35,33,27,0,0
WALKNE01  ,1969,Neal,Walk,PHO,N,5,63,40,0,0,35,2,0,0,0,13,43,17,8,6,0,0
WARLEBE01 ,1969,Ben,Warley,DEN,A,10,129,38,0,0,29,11,0,0,0,27,38,16,10,6,0,0
WARREJO01 ,1969,Johnny,Warren,NYK,N,10,22,4,0,0,3,2,0,0,0,6,5,2,0,0,0,0
WASHIJI01 ,1969,Jim,Washington,PHI,N,5,167,63,0,0,49,9,0,0,0,18,57,25,23,13,0,0
WEISSBO01 ,1969,Bob,Weiss,CHI,N,5,121,58,0,0,6,24,0,0,0,11,59,25,10,8,0,0
WESLEWA01 ,1969,Walt,Wesley,CHI,N,4,59,38,0,0,19,2,0,0,0,9,31,16,12,6,0,0
WESTJE01  ,1969,Jerry,West,LAL,N,18,830,562,0,0,66,151,0,0,0,55,418,196,212,170,0,0
WILLISA01 ,1969,Sam,Williams,MIL,N,2,16,8,0,0,4,1,0,0,0,5,7,4,2,0,0,0
WILSOGE01 ,1969,George,Wilson,PHI,N,2,23,9,0,0,12,1,0,0,0,4,13,4,1,1,0,0
WISEWI01  ,1969,Willie,Wise,LAS,A,12,237,115,0,0,64,23,0,0,0,0,97,50,31,15,0,0
WORKMTO01 ,1969,Tom,Workman,LAS,A,3,9,6,0,0,3,0,0,0,0,0,7,3,0,0,0,0
ABDULKA01 ,1970,Kareem,Abdul-jabbar,MIL,N,14,577,372,0,0,238,35,0,0,0,35,295,152,101,68,0,0
ALLENLU01 ,1970,Lucius,Allen,MIL,N,14,312,102,0,0,40,52,0,0,0,30,81,41,28,20,0,0
ARDJI01   ,1970,Jim,Ard,NYN,A,6,98,47,0,0,29,3,0,0,0,15,29,16,22,15,0,0
ATTLEAL01 ,1970,Alvin,Attles,SFW,N,4,47,13,0,0,8,11,0,0,0,13,7,4,7,5,0,0
AWTREDE01 ,1970,Dennis,Awtrey,PHI,N,7,144,53,0,0,27,5,0,0,0,25,36,21,15,11,0,0
BARNEDI01 ,1970,Dick,Barnett,NYK,N,12,455,234,0,0,38,36,0,0,0,33,199,95,63,44,0,0
BARRYRI01 ,1970,Rick,Barry,NYN,A,6,287,188,0,0,70,24,0,0,0,23,135,70,59,48,0,0
BAUMJO01  ,1970,Johnny,Baum,CHI,N,2,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
BEASLCH01 ,1970,Charlie,Beasley,DLC,A,3,45,10,0,0,7,5,0,0,0,8,14,4,3,2,0,0
BEASLJO01 ,1970,John,Beasley,DLC,A,4,115,44,0,0,42,6,0,0,0,9,52,20,5,4,0,0
BEATYZE01 ,1970,Zelmo,Beaty,UTS,A,18,698,418,0,0,263,43,0,0,0,75,293,157,123,104,0,0
BELLAWA01 ,1970,Walt,Bellamy,ATL,N,5,216,104,0,0,72,10,0,0,0,16,69,41,29,22,0,0
BOERWTO01 ,1970,Tom,Boerwinkle,CHI,N,7,169,43,0,0,67,31,0,0,0,17,41,19,7,5,0,0
BOONERO01 ,1970,Ron,Boone,UTS,A,18,569,300,0,0,110,94,0,0,0,71,256,113,86,74,0,0
BOOZEBO01 ,1970,Bob,Boozer,MIL,N,14,283,104,0,0,74,17,0,0,0,35,85,41,29,22,0,0
BRADLBI01 ,1970,Bill,Bradley,NYK,N,12,368,126,0,0,41,43,0,0,0,40,132,56,19,14,0,0
BRIDGBI01 ,1970,Bill,Bridges,ATL,N,5,229,49,0,0,104,5,0,0,0,17,58,23,9,3,0,0
BROWNRO01 ,1970,Rogera,Brown,IND,A,11,477,230,0,0,84,53,0,0,0,42,194,88,69,54,0,0
BUNTIBI01 ,1970,Bill,Bunting,VIR,A,6,35,18,0,0,6,1,0,0,0,4,10,5,12,8,0,0
CALVIMA01 ,1970,Mack,Calvin,FLA,A,6,255,163,0,0,16,42,0,0,0,10,120,62,46,39,0,0
CARTEFR01 ,1970,Fred,Carter,BAL,N,18,597,263,0,0,82,36,0,0,0,63,260,108,73,47,0,0
CARTEGE01 ,1970,George,Carter,VIR,A,12,409,229,0,0,108,29,0,0,0,46,190,88,65,53,0,0
CHAMBJE01 ,1970,Jerry,Chambers,ATL,N,4,22,7,0,0,5,0,0,0,0,4,9,3,2,1,0,0
CHAMBWI01 ,1970,Wilt,Chamberlain,LAL,N,12,554,220,0,0,242,53,0,0,0,33,187,85,97,50,0,0
CHAPMWA01 ,1970,Wayne,Chapman,IND,A,5,21,16,0,0,7,2,0,0,0,3,10,6,6,4,0,0
CLARKAR01 ,1970,Archie,Clark,PHI,N,7,295,165,0,0,29,34,0,0,0,21,139,66,45,33,0,0
COMBSGL01 ,1970,Glen,Combs,UTS,A,18,639,286,0,0,74,64,0,0,0,67,269,109,85,68,0,0
CONGDJE01 ,1970,Jeff,Congdon,NYN,A,4,76,21,0,0,6,11,0,0,0,2,21,8,5,5,0,0
CRAWFFR01 ,1970,Fred,Crawford,PHI,N,1,9,7,0,0,0,1,0,0,0,1,4,2,4,3,0,0
CUNNIBI01 ,1970,Billy,Cunningham,PHI,N,7,301,181,0,0,108,40,0,0,0,28,142,67,67,47,0,0
CUNNIDI01 ,1970,Dick,Cunningham,MIL,N,14,89,24,0,0,24,1,0,0,0,10,21,9,9,6,0,0
CUNNIWI01 ,1970,Willi,Cunningham,PHI,N,7,301,181,0,0,108,40,0,0,0,28,142,67,67,47,0,0
DAMPILO01 ,1970,Lou,Dampier,KEN,A,19,828,300,0,0,78,179,0,0,0,56,304,117,89,66,0,0
DANDRBO01 ,1970,Bob,Dandridge,MIL,N,14,535,269,0,0,134,48,0,0,0,45,244,113,55,43,0,0
DANIEME01 ,1970,Mel,Daniels,IND,A,11,457,235,0,0,211,16,0,0,0,38,194,94,63,47,0,0
DAVISJA01 ,1970,James,Davis,ATL,N,5,119,56,0,0,22,4,0,0,0,17,36,17,27,22,0,0
DAVISLE01 ,1970,Lee,Davis,MMP,A,1,2,2,0,0,1,0,0,0,0,1,2,0,2,2,0,0
DAVISWA02 ,1970,Warren,Davis,FLA,A,6,180,78,0,0,48,31,0,0,0,26,58,28,29,22,0,0
DEBUSDA01 ,1970,Dave,Debusschere,NYK,N,12,488,197,0,0,156,22,0,0,0,40,202,84,44,29,0,0
DEPREJO01 ,1970,Joe,Depre,NYN,A,6,171,73,0,0,18,13,0,0,0,32,55,29,19,15,0,0
DIETRCO01 ,1970,Coby,Dietrick,MMP,A,2,10,4,0,0,3,1,0,0,0,0,4,1,2,2,0,0
DOVELL01  ,1970,Lloyd,Dove,NYN,A,5,32,11,0,0,11,1,0,0,0,10,10,5,4,1,0,0
EAKINJI01 ,1970,Jim,Eakins,VIR,A,12,296,124,0,0,120,20,0,0,0,44,99,50,32,24,0,0
ELLISJO01 ,1970,Joe,Ellis,SFW,N,5,91,28,0,0,21,0,0,0,0,8,42,13,3,2,0,0
ERICKKE01 ,1970,Keith,Erickson,LAL,N,8,313,125,0,0,45,22,0,0,0,34,99,54,22,17,0,0
FILLMGR01 ,1970,Greg,Fillmore,NYK,N,8,24,0,0,0,8,1,0,0,0,9,4,0,0,0,0,0
FONTALE01 ,1970,Levi,Fontaine,SFW,N,2,9,5,0,0,0,0,0,0,0,2,3,2,3,1,0,0
FOSTEFR01 ,1970,Fred,Foster,PHI,N,5,49,18,0,0,12,5,0,0,0,6,19,8,2,2,0,0
FOXJI01   ,1970,Jim,Fox,CHI,N,7,167,79,0,0,66,17,0,0,0,17,76,33,19,13,0,0
FRANZRO01 ,1970,Ron,Franz,FLA,A,2,40,17,0,0,10,2,0,0,0,4,21,7,8,3,0,0
FRAZIWA01 ,1970,Walt,Frazier,NYK,N,12,501,271,0,0,70,54,0,0,0,45,204,108,75,55,0,0
FREEMDO01 ,1970,Donnie,Freeman,DLC,A,4,144,89,0,0,24,5,0,0,0,9,84,38,16,13,0,0
FULLECA01 ,1970,Carl,Fuller,FLA,A,6,43,16,0,0,15,4,0,0,0,11,22,6,6,4,0,0
GOODRGA01 ,1970,Gail,Goodrich,LAL,N,12,518,305,0,0,38,91,0,0,0,38,247,105,113,95,0,0
GOVANGE01 ,1970,Gerald,Govan,MMP,A,4,182,31,0,0,61,22,0,0,0,18,32,11,10,9,0,0
GREACBO01 ,1970,Bob,Greacen,MIL,N,7,16,12,0,0,5,0,0,0,0,4,11,4,4,4,0,0
GREERHA01 ,1970,Hal,Greer,PHI,N,7,265,125,0,0,25,33,0,0,0,35,112,49,36,27,0,0
HAIRSHA01 ,1970,Happy,Hairston,LAL,N,12,471,204,0,0,109,34,0,0,0,41,164,83,50,38,0,0
HESTEDA01 ,1970,Dan,Hester,KEN,A,7,42,16,0,0,13,1,0,0,0,9,14,4,9,8,0,0
HETZEFR01 ,1970,Fred,Hetzel,LAL,N,7,38,12,0,0,7,2,0,0,0,5,15,5,2,2,0,0
HIGGIEA01 ,1970,Earlie,Higgins,IND,A,5,31,18,0,0,13,1,0,0,0,5,20,6,7,6,0,0
HIGHTWA01 ,1970,Wayne,Hightower,DLC,A,4,126,35,0,0,32,11,0,0,0,12,34,11,17,13,0,0
HOWELBA01 ,1970,Bailey,Howell,PHI,N,7,122,47,0,0,31,4,0,0,0,25,45,19,18,9,0,0
HUDSOLO01 ,1970,Lou,Hudson,ATL,N,5,213,127,0,0,35,15,0,0,0,19,108,49,39,29,0,0
HUNTELE01 ,1970,Les,Hunter,KEN,A,19,352,175,0,0,88,33,0,0,0,76,168,65,73,45,0,0
IRVINGE01 ,1970,George,Irvine,VIR,A,7,25,7,0,0,5,2,0,0,0,7,6,3,1,1,0,0
